Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
458,293476.6,221750.34,113860.76,58085.797,44235.81
459,292750.97,221715.45,113844.836,58057.95,44233.363
460,291281.06,221862.52,113798.69,57280.22,44231.188
461,291189.1,222148.03,113776.66,57311.215,44197.72
462,292100.94,221922.28,113700.92,57311.934,44166.46
463,292943.56,222117.47,112890.38,57330.773,44158.414
464,292960.06,222164.83,112832.69,57329.53,44170.285
465,293035.78,222015.4,112719.96,57319.2,44114.707
466,291349.56,222251.4,112652.56,57306.45,44058.414
467,291460.44,223439.95,114171.664,57280.3,44838.734
468,291384.28,222755.64,114724.9,57258.023,44838.555
469,291377.53,223695.83,113315.54,57233.496,44834.938
470,291343.75,223646.44,113278.2,57194.11,44823.734
471,291419.2,223626.81,113233.9,56377.246,44803.957
472,291576.72,223549.02,113953.79,56370.73,44783.402
473,291625.28,223705.05,113936.03,56348.492,45371.79
474,291673.1,223359.64,113116.016,56352.78,45349.43
475,292336.4,223533.62,113114.875,55507.94,44585.47
476,291467.8,222652.64,113099.23,54751.855,45449.06
477,291459.38,222452.39,112271.055,54768.945,45434.59
478,291533.97,223399.8,112294.04,54765.98,44668.113
479,291663.25,223211.83,112239.89,54735.66,43932.887
480,291618.1,223112.38,112229.625,54735.258,43889.637
481,291626.3,224135.3,112194.79,54704.367,43893.273
482,293262.44,223841.84,112171.56,54679.957,43905.867
483,292413.47,223985.72,112132.664,54645.79,44693.316
484,292391.7,224774.75,111265.89,55424.79,44689.42
485,292331.8,224610.17,112077.92,54632.918,44683.07
486,293251.78,224714.2,112857.94,55435.58,44668.01
487,293324.8,223809.97,112832.46,55448.965,44651.72
488,293249.06,222882.02,112882.08,55455.266,44642.875
489,293246.94,223026.05,112952.164,55420.3,45392.633
490,293170.2,223081.84,112963.98,55432.082,45409.414
491,293233.03,223072.39,113205.83,57042.734,44622.285
492,291913.2,222064.16,113755.67,57309.99,44186.566
493,292807.2,222131.36,112860.38,57319.32,44153.94
